field_1,id,date,price,bedrooms,bathrooms,sqft_livin,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basem,yr_built,yr_renovat,zipcode,lat,long,sqft_liv_1,sqft_lot15,bed_to_bat,has_baseme,water_dist,path_cost
593,9542830350,9/2/2014,296000,4,2.5,1780,3600,2,0,0,3,7,1780,0,2006,0,98038,47.3665,-122.017,2020,3802,1.6,0,13.31054151,0.437399093
594,1123049053,2/13/2015,360000,4,2.5,1840,9611,2,0,0,3,7,1840,0,1996,0,98178,47.4964,-122.251,1830,8505,1.6,0,1.092387208,0.374630737
596,3278600240,7/22/2014,372500,2,2.5,1400,2958,2,0,0,3,8,1400,0,2007,0,98126,47.5496,-122.373,1540,2385,0.8,0,1.178724738,0.302464578
598,662310400,10/17/2014,515000,4,3,3590,8249,2,0,0,3,9,3590,0,1997,0,98023,47.2846,-122.341,2860,7995,1.333333333,0,1.677913944,0.511431829
600,8682250350,10/9/2014,507000,2,1.75,1670,6460,1,0,0,3,8,1670,0,2004,0,98053,47.7123,-122.027,2170,6254,1.142857143,0,5.012506691,0.13224325
603,7199350340,8/25/2014,460000,3,1.75,1440,7070,1,0,0,3,7,1440,0,1980,0,98052,47.6947,-122.125,1440,7210,1.714285714,0,2.731107499,0.13224325
604,3904901710,2/24/2015,435500,3,2.25,1450,4789,2,0,0,3,7,1450,0,1985,0,98029,47.5665,-122.018,1560,4490,1.333333333,0,1.737514566,0.393844328
606,6865200444,5/5/2014,531000,2,3,1270,1175,2,0,0,3,8,1110,160,2000,0,98103,47.6634,-122.34,1290,1800,0.666666667,1,0.597469917,0.069100289
607,9498200046,2/6/2015,443500,2,1,940,6804,1,0,0,3,7,940,0,1949,0,98177,47.7047,-122.373,1150,6930,2,0,0.444037307,0.191452857
608,1796380960,11/26/2014,223000,3,2,1670,6824,1,0,0,3,7,1300,370,1990,0,98042,47.3666,-122.084,1660,7586,1.5,1,11.04092652,0.437399093
610,3126049411,12/9/2014,340000,2,2.5,1100,1760,3,0,0,3,7,1100,0,1997,0,98103,47.6972,-122.35,1200,1415,0.8,0,1.009869298,0.14105073
611,2321300390,11/5/2014,650000,3,2,1870,3388,1,0,0,4,8,1230,640,1925,0,98199,47.6372,-122.395,1780,4050,1.5,1,0.394067377,0.171765401
612,3905040800,9/25/2014,533600,3,2.5,1930,5080,2,0,0,4,8,1930,0,1990,0,98029,47.5694,-122.001,2190,5085,1.2,0,2.546493024,0.393844328
613,4379400260,6/10/2014,695000,3,2.75,2540,4694,2,0,0,3,9,2540,0,2005,0,98074,47.6214,-122.024,2600,6344,1.090909091,0,2.086224368,0.13224325
614,5115000160,6/17/2014,242000,3,1.75,1280,7524,1.5,0,0,4,7,1280,0,1988,0,98031,47.3961,-122.188,1500,7777,1.714285714,0,7.308296104,0.503535928
615,2826049234,1/14/2015,425000,3,2.25,1820,8814,1,0,0,3,7,1280,540,1967,0,98125,47.7162,-122.309,1810,7515,1.333333333,1,1.358935411,0.15316414
616,6600700030,5/6/2015,525000,3,2.25,1490,9414,2,0,0,3,7,1490,0,1981,0,98052,47.6844,-122.113,1290,10125,1.333333333,0,1.966574397,0.13224325
617,3904930240,9/22/2014,485000,3,2.5,1880,5502,2,0,0,3,8,1880,0,1988,0,98029,47.5737,-122.018,2040,5411,1.2,0,1.831339432,0.240961112
618,9407110700,1/13/2015,175000,3,1,1250,9775,1,0,0,3,7,1250,0,1971,0,98045,47.4474,-121.771,1390,9650,3,0,15.55486248,0.437399093
619,1682500160,6/19/2014,210000,3,2,1440,7210,1,0,0,3,8,1440,0,1983,0,98092,47.3128,-122.184,1700,7245,1.5,0,7.046904299,0.503535928
620,8078570390,4/15/2015,260000,3,2.5,1920,7415,2,0,0,3,7,1920,0,1989,0,98031,47.4022,-122.171,1930,7536,1.2,0,7.062320224,0.503535928
621,3010300240,6/23/2014,577000,3,2.5,2060,5750,1,0,0,3,7,1330,730,1976,0,98116,47.5671,-122.391,1920,5750,1.2,1,0.775135719,0.295628288
623,461001615,2/25/2015,605000,2,1.75,1760,5000,1,0,0,4,7,940,820,1927,0,98117,47.682,-122.372,1530,5000,1.142857143,1,1.33617122,0.148380234
624,6411600069,5/21/2014,325000,3,1,990,6750,1,0,0,4,6,990,0,1947,0,98133,47.7125,-122.331,1440,6860,3,0,1.933738654,0.161186228
625,7812800565,8/14/2014,289500,3,1,960,6400,1,0,0,4,6,820,140,1944,0,98178,47.496,-122.239,1200,6600,3,1,0.862876256,0.381346282
626,7548300731,8/8/2014,559950,3,2.5,1660,1458,3,0,0,3,9,1660,0,2014,0,98144,47.5876,-122.309,1660,1784,1.2,0,1.014850351,0.153577615
627,8925100390,4/6/2015,1040000,3,1.75,1900,9375,1,0,1,4,8,1330,570,1941,0,98115,47.6821,-122.273,2760,9375,1.714285714,1,0.617366184,0.106035543
628,7010700292,10/9/2014,543500,3,2.25,1270,2790,1,0,0,3,7,990,280,1970,0,98199,47.6581,-122.396,1920,4000,1.333333333,1,0.362987115,0.160924163
630,5437820310,5/23/2014,218000,3,1,960,9633,1,0,0,5,6,960,0,1982,0,98022,47.1951,-122.001,1080,8610,3,0,18.5550992,0.503535928
631,582000135,6/22/2014,565000,2,1.75,1330,6000,1,0,0,4,7,960,370,1914,1945,98199,47.6539,-122.396,1620,6000,1.142857143,1,0.652536117,0.166620539
632,3204800370,12/12/2014,426700,3,1.75,2080,7700,1,0,0,5,7,1600,480,1968,0,98056,47.5375,-122.178,1680,7700,1.714285714,1,0.844393437,0.393844328
634,9550204515,9/24/2014,542000,2,1,890,3060,1,0,0,3,7,770,120,1910,0,98105,47.6663,-122.326,1760,4080,2,1,0.756108211,0.053959908
635,7199330390,6/24/2014,415000,3,1.75,1070,8000,1,0,0,3,7,1070,0,1977,0,98052,47.6978,-122.13,1200,7990,1.714285714,0,2.992715606,0.13224325
636,6131600060,8/15/2014,214000,3,1,1200,8316,1,0,0,4,6,1200,0,1953,0,98002,47.3221,-122.215,1200,8316,3,0,5.456901764,0.503535928
637,5379805460,1/21/2015,245000,3,1.5,1360,8910,2,0,0,5,7,1360,0,1949,0,98188,47.4488,-122.275,1220,8912,2,0,4.572980024,0.480389079
639,6379500640,4/9/2015,1120000,3,1.5,3000,5750,2,0,0,5,9,2000,1000,1924,0,98116,47.5821,-122.39,1820,5750,2,1,0.523796286,0.300533336
640,4315700060,3/3/2015,378000,2,2,1300,3850,1,0,0,3,7,800,500,1963,0,98136,47.5395,-122.39,950,5500,1,1,0.315309954,0.340261476
641,3329500060,7/28/2014,305000,4,2.5,2250,9091,1,0,0,3,7,1340,910,1982,0,98001,47.336,-122.269,1540,7802,1.6,1,2.744934434,0.501579779
642,4140090320,3/20/2015,595000,5,2.75,3740,6750,1,0,0,4,8,1980,1760,1978,0,98028,47.7679,-122.261,2620,7920,1.818181818,1,0.748033523,0.295235949
643,9385200045,5/12/2015,729500,3,2.5,1660,1091,3,0,1,3,9,1530,130,2015,0,98116,47.5818,-122.402,1510,1352,1.2,1,0.089333831,0.327306426
644,7852180340,9/30/2014,430000,3,2.5,2360,6699,2,0,0,3,7,2360,0,2003,0,98065,47.5317,-121.853,2360,4744,1.2,0,9.729897634,0.418648795
645,1545804340,4/9/2015,240000,3,1.75,1760,6500,1,0,0,3,7,1150,0,1987,0,98038,47.3647,-122.05,1760,8125,1.714285714,0,13.21111632,0.437399093
646,2490200320,3/20/2015,545000,3,1.75,1680,6200,1.5,0,0,3,7,1680,0,1916,0,98136,47.5338,-122.384,1680,5100,1.714285714,0,0.564184223,0.352749841
647,2218000335,7/7/2014,530000,3,1.75,1320,2500,1,0,0,3,7,870,450,1918,0,98105,47.6681,-122.305,1580,2750,1.714285714,1,1.040404851,0.045320845
649,2586800270,4/7/2015,425000,4,1,1260,7645,1.5,0,0,3,6,1260,0,1925,0,98146,47.5044,-122.35,1170,7649,4,0,1.203742567,0.374616094
650,4338800370,11/17/2014,220000,3,1,1000,6020,1,0,0,3,6,1000,0,1944,0,98166,47.4793,-122.346,1300,8640,3,0,0.726860856,0.423805587
652,3226200105,5/23/2014,325000,3,1,1920,6862,1,0,2,3,7,1120,800,1952,0,98118,47.5193,-122.274,2000,6900,3,1,0.534576914,0.306572941
653,2324039036,4/3/2015,597500,3,2,2150,5400,1.5,0,0,4,7,1380,770,1911,0,98126,47.555,-122.379,1940,6500,1.5,1,0.956187478,0.296410614
654,7849202231,7/23/2014,337000,3,2.5,1470,3976,2,0,0,3,7,1470,0,1999,0,98065,47.526,-121.826,1490,4400,1.2,0,11.0509744,0.418648795
657,2985800030,5/7/2014,495000,3,1,990,6000,1,0,0,3,6,990,0,1943,0,98105,47.6718,-122.267,1250,6000,3,0,0.468516156,0.089469922
658,259900160,1/2/2015,748000,4,3.5,2770,3330,2,0,0,3,8,1970,800,2001,0,98052,47.6327,-122.109,2180,3380,1.142857143,1,0.72499088,0.13224325
659,708000030,9/2/2014,888000,3,1.5,1250,8710,1,0,0,4,7,1250,0,1953,0,98004,47.6245,-122.198,1750,9185,2,0,1.132343227,0.134696631
662,1062100116,1/21/2015,475000,3,2.5,1640,5097,2,0,0,3,7,1640,0,1969,0,98155,47.7522,-122.278,1880,6000,1.2,0,0.106378395,0.245955439
663,6798100662,5/27/2014,312000,3,1.5,1255,1374,3,0,0,3,7,1255,0,2004,0,98125,47.7145,-122.311,1307,1232,2,0,1.483645972,0.14813063
665,2525500260,11/24/2014,331000,3,1.75,1300,9079,1,0,0,3,7,1300,0,1986,0,98059,47.4834,-122.159,1890,7369,1.714285714,0,2.510873611,0.431902871
666,6145600041,5/14/2014,306000,3,1.5,1220,1086,3,0,0,3,8,1220,0,2007,0,98133,47.7049,-122.353,1220,1422,2,0,1.54371751,0.162829327
667,3300701615,9/30/2014,655000,4,2.5,2630,4000,3,0,0,3,8,2630,0,2002,0,98117,47.6915,-122.381,1640,4000,1.6,0,0.885901838,0.175182078
669,7613700521,8/2/2014,1250000,4,3.25,3160,5000,2,0,0,5,9,2360,800,1965,0,98105,47.6597,-122.274,2220,4000,1.230769231,1,0.271816618,0.070267453
670,2710600045,6/16/2014,460000,3,1.75,1550,4708,1,0,0,4,7,860,690,1949,0,98115,47.6759,-122.286,1880,5600,1.714285714,1,1.305794223,0.078517267
671,5101405124,9/12/2014,435000,4,2.5,1700,6380,1,0,0,4,7,850,0,1940,0,98115,47.6988,-122.319,1380,6380,1.6,0,1.262105976,0.117184501
673,1959701890,7/29/2014,865000,4,1.75,1800,4180,2,0,3,4,8,1800,0,1921,0,98102,47.6462,-122.318,2180,4620,2.285714286,0,0.088063552,0.042591976
675,3558900070,7/18/2014,497000,3,2.25,1870,9315,1,0,0,3,7,1350,520,1975,0,98034,47.705,-122.202,2230,9579,1.333333333,1,0.450725179,0.128667689
676,7846700310,6/23/2014,280000,2,1,1010,3000,1,0,0,4,7,1010,0,1925,0,98045,47.4965,-121.785,1150,7000,2,0,13.48686007,0.431784174
678,3013300288,9/30/2014,478500,3,1,2090,4755,1,0,2,3,8,1200,890,1969,0,98136,47.5304,-122.387,1850,5300,3,1,0.481535179,0.357814843
680,5029450160,8/15/2014,222000,3,2,1440,7187,1,0,0,4,7,970,470,1981,0,98023,47.291,-122.368,1440,7187,1.5,1,1.251027656,0.507470721
682,5104540240,6/9/2014,609900,4,2.5,3190,7399,2,0,0,3,10,3190,0,2006,0,98038,47.3558,-122.004,3250,7323,1.6,0,14.24626049,0.437399093
683,3438500486,10/16/2014,413000,4,3.5,2380,5809,2,0,0,4,7,1750,630,1995,0,98106,47.5536,-122.359,1620,5775,1.142857143,1,2.107632209,0.28339043
684,5102400105,10/13/2014,400000,4,1,1420,4875,1.5,0,0,3,7,1420,0,1930,0,98115,47.6942,-122.321,1110,5413,4,0,0.933533366,0.110021834
685,2346200030,1/5/2015,802541,5,2.75,2990,6768,2,0,0,3,9,2990,0,2014,0,98006,47.5462,-122.182,2870,6768,1.818181818,0,0.792611826,0.393844328
686,1321710030,5/19/2014,320000,3,2.5,2680,7757,2,0,0,3,8,2680,0,1990,0,98023,47.2918,-122.346,2430,8231,1.2,0,2.030637663,0.511431829
687,7853290030,3/11/2015,507000,4,2.5,2730,7649,2,0,0,3,7,2730,0,2006,0,98065,47.5441,-121.882,2730,6216,1.6,0,8.224230614,0.418648795
688,1566100400,9/24/2014,387500,3,1,1220,8329,1,0,0,3,6,1220,0,1946,0,98115,47.6982,-122.298,1490,8322,3,0,1.192154066,0.117548174
692,1402600700,7/21/2014,359900,4,2.25,2470,7698,2,0,0,3,8,2470,0,1983,0,98058,47.4406,-122.141,2330,7986,1.777777778,0,5.288913435,0.437399093
693,8024200350,3/4/2015,410000,2,1,800,4342,1,0,0,3,6,670,130,1927,0,98115,47.6997,-122.316,1210,4343,2,1,1.377264291,0.118316758
695,7697870860,6/25/2014,245000,3,2,1410,5760,1,0,0,3,7,1410,0,1985,0,98030,47.3702,-122.185,1670,6222,1.5,0,9.099380197,0.503535928
697,2013200390,9/22/2014,268000,4,1.75,1680,9966,1,0,0,3,7,1100,580,1977,0,98198,47.3923,-122.311,2400,10369,2.285714286,1,0.672489572,0.498346866
700,9349900105,4/7/2015,795000,2,1,1380,5000,1.5,0,2,3,5,1380,0,1905,0,98106,47.5708,-122.359,1500,5000,2,0,0.923999962,0.24633761
701,1895000045,5/4/2015,195000,2,1,820,5100,1,0,0,3,6,820,0,1953,0,98118,47.5156,-122.262,1170,5304,2,0,0.330095033,0.323179116
703,7011200260,12/19/2014,485000,4,2,1400,3600,1,0,0,3,7,1100,300,1900,0,98119,47.6385,-122.37,1630,2048,2,1,0.56748044,0.126034665
704,41000454,8/15/2014,130000,2,1,880,9000,1,0,0,3,5,880,0,1928,0,98188,47.4672,-122.291,1410,10000,2,0,3.940017434,0.448407525
705,7203600550,8/4/2014,325000,2,1,1060,5703,1,0,2,4,6,1060,0,1946,0,98198,47.3444,-122.327,2240,4416,2,0,0.114423093,0.498346866
706,9477200560,4/13/2015,440000,3,1.75,1530,7245,1,0,0,4,7,1530,0,1984,0,98034,47.731,-122.191,1530,7490,1.714285714,0,2.177965398,0.275708061
708,5231000060,8/5/2014,310000,3,1.75,1490,7150,1,0,0,5,6,1490,0,1967,0,98059,47.5015,-122.124,1350,9100,1.714285714,0,4.339832804,0.418648795
710,3216900060,6/25/2014,390000,4,2.5,2340,8548,2,0,0,3,8,2340,0,1993,0,98031,47.4206,-122.183,1970,6818,1.6,0,5.690556579,0.503535928
712,8077210350,7/22/2014,639000,4,2.5,2210,9875,2,0,0,3,9,2210,0,1990,0,98074,47.6285,-122.025,2440,8799,1.6,0,2.146222712,0.13224325
713,7203000640,9/18/2014,215000,4,1,1130,7400,1,0,0,4,7,1130,0,1969,0,98003,47.3437,-122.316,1540,7379,4,0,0.525538971,0.498346866
715,3832200070,12/22/2014,250000,4,1.75,1710,7140,1,0,0,5,7,1010,700,1968,0,98032,47.3745,-122.275,1770,8960,2.285714286,1,2.29173183,0.501579779
716,3670500710,7/15/2014,405500,3,1.5,1010,8108,1,0,0,5,7,1010,0,1954,0,98155,47.7359,-122.309,1300,8108,2,0,1.079507519,0.199046017
719,4233400400,4/14/2015,267000,3,2,1300,9644,1,0,0,3,7,1300,0,1994,0,98010,47.3131,-121.998,1430,9656,1.5,0,17.10408718,0.437399093
720,3793500550,8/8/2014,289950,3,2.5,1670,6186,2,0,0,3,7,1670,0,2002,0,98038,47.3668,-122.031,2390,6924,1.2,0,13.1736756,0.437399093
721,6431000270,7/28/2014,565000,2,1,960,4080,1,0,0,5,7,960,0,1911,0,98103,47.6893,-122.349,1300,4080,2,0,0.631937647,0.121766571
723,7694800270,4/20/2015,636000,3,2.5,2140,2770,2,0,0,3,8,1770,370,2007,0,98052,47.6664,-122.131,2510,2708,1.2,1,1.090105023,0.13224325
724,2171400197,9/18/2014,350000,5,3,2520,5500,1,0,0,3,8,1550,970,2004,0,98178,47.4938,-122.255,1700,8000,1.666666667,1,1.330013495,0.378656115
725,2473400340,6/4/2014,320000,3,1.5,1650,9380,1,0,0,5,7,1130,520,1978,0,98058,47.4525,-122.162,1720,8856,2,1,4.076379184,0.437399093
726,3530490070,6/13/2014,210000,2,1.75,1440,5680,1,0,0,4,8,1440,0,1978,0,98198,47.3825,-122.319,1320,3547,1.142857143,0,0.355468264,0.498346866
727,1932300075,9/10/2014,245000,2,1,1050,5900,1,0,0,3,7,1050,0,1950,0,98126,47.5326,-122.376,1280,5900,2,0,0.990428087,0.343460579
728,2525000510,11/6/2014,328000,3,1.75,1470,7650,1,0,0,3,7,1130,340,1983,0,98059,47.4818,-122.161,1590,7500,1.714285714,1,2.505853553,0.437399093
730,1742800060,6/12/2014,501000,3,1.75,1970,7972,1,0,3,5,8,1370,600,1976,0,98055,47.4908,-122.225,2460,9796,1.714285714,1,0.72845518,0.418514767
732,2619950350,5/8/2014,403000,3,2.75,2090,8354,2,0,0,3,8,2090,0,2012,0,98019,47.7336,-121.965,2280,6348,1.090909091,0,8.46253113,0.13224325
734,731500200,1/13/2015,347500,4,2.5,2156,3562,2,0,0,3,9,2156,0,2012,0,98030,47.3591,-122.201,1708,3539,1.6,0,5.762354479,0.503535928
735,2591820310,10/6/2014,365000,4,2.25,2070,8893,2,0,0,4,8,2070,0,1986,0,98058,47.4388,-122.162,2390,7700,1.777777778,0,4.934670508,0.437399093
736,3626039299,2/24/2015,588000,3,1,1910,8167,1,0,0,4,8,1270,640,1951,0,98117,47.7004,-122.368,1500,6816,3,1,0.80416377,0.1744991
737,9346980140,8/20/2014,605000,3,1.75,1920,7400,1,0,0,4,8,1260,660,1977,0,98006,47.5633,-122.131,2360,8048,1.714285714,1,1.304081121,0.240961112
738,6613000140,11/13/2014,1300000,3,3.25,3400,5979,2,0,0,4,9,2290,1110,1937,0,98105,47.6585,-122.273,3090,6435,0.923076923,1,0.176804021,0.068707359
739,8159610060,11/19/2014,233000,3,2,1400,9177,1,0,0,3,7,1400,0,1974,0,98001,47.3415,-122.272,2020,8547,1.5,0,2.497655416,0.501579779
741,1588600045,12/15/2014,459000,2,1.75,1170,4887,1,0,0,3,6,1020,150,1929,0,98117,47.695,-122.366,1170,5441,1.142857143,1,1.147682538,0.160146843
743,1771000890,9/17/2014,305000,3,1,1160,9750,1,0,0,3,7,1160,0,1967,0,98077,47.7422,-122.073,1160,9650,3,0,5.906851684,0.128667689
744,3300701170,6/20/2014,395000,3,1,1500,4000,1,0,0,3,6,900,600,1925,0,98117,47.6921,-122.38,950,4000,3,1,0.868103871,0.174904866
745,7340500270,1/23/2015,560000,4,2.5,2940,6000,2,0,0,3,8,2940,0,2000,0,98011,47.7533,-122.198,2510,6600,1.6,0,3.514072388,0.275708061
746,9277200111,7/14/2014,650000,4,1.75,2010,5070,1,0,1,4,7,1300,710,1963,0,98116,47.5793,-122.402,2180,5400,2.285714286,1,0.262033659,0.31776195
747,293720140,6/5/2014,449950,3,2.5,2170,4912,2,0,0,3,7,2170,0,2003,0,98028,47.7767,-122.239,2010,4395,1.2,0,1.499874184,0.295235949
748,579003610,2/24/2015,517500,3,1.5,1430,5200,1,0,3,4,7,1250,180,1940,0,98117,47.6988,-122.387,2210,6240,2,1,0.290142589,0.200226926
749,1138020200,9/3/2014,435000,4,1.5,1510,6460,1,0,0,3,7,1070,440,1970,0,98034,47.7121,-122.214,1450,6630,2.666666667,1,0.568114011,0.128667689
750,3432500200,4/9/2015,329999,3,1,1150,6908,1,0,0,3,6,800,350,1952,0,98155,47.7447,-122.313,1150,6908,3,1,1.351722664,0.213265444
751,1563102435,12/10/2014,950000,3,1.75,2150,4200,1,0,4,5,8,1140,1010,1960,0,98116,47.5671,-122.405,2510,7500,1.714285714,1,0.194659474,0.323072814
752,3959400710,7/30/2014,447000,3,1,1370,6001,1,0,0,5,7,1230,140,1944,0,98108,47.5646,-122.317,1370,5520,3,1,1.87677542,0.212193027
753,8682300890,8/28/2014,699800,2,2.5,2380,6600,1,0,0,3,8,2380,0,2010,0,98053,47.717,-122.02,1870,6600,0.8,0,5.469361533,0.13224325
754,4385700765,6/3/2014,850000,3,1.75,1370,3850,1,0,0,5,7,770,600,1911,1988,98112,47.6374,-122.279,1390,3600,1.714285714,1,0.105605868,0.091372457
756,9323600060,7/15/2014,942500,5,3.5,3750,9612,1,0,2,4,9,2030,1720,1981,0,98006,47.5511,-122.157,3270,9688,1.428571429,1,1.68296651,0.393844328
757,9273200140,1/21/2015,1310000,2,2.25,3950,3938,2,0,4,3,10,2910,1040,1991,0,98116,47.5912,-122.384,3220,4500,0.888888889,1,0.095472031,0.314817789
759,770000045,10/24/2014,405600,5,1.5,2830,4000,2.5,0,0,4,8,2830,0,1918,0,98118,47.5132,-122.262,1480,4000,3.333333333,0,0.493268897,0.327886453
761,6379500159,9/11/2014,400000,3,2.25,1190,1149,2,0,0,3,8,1050,140,2008,0,98116,47.5818,-122.387,1210,1316,1.333333333,1,0.601037275,0.293672811
763,8856940060,2/27/2015,374950,4,2.75,2730,4683,2,0,0,3,7,2730,0,2005,0,98038,47.3608,-122.043,2230,4924,1.454545455,0,13.5111002,0.437399093
764,2972300060,12/17/2014,405300,3,2.75,2390,7939,1,0,0,5,7,1610,780,1983,0,98056,47.4987,-122.166,1920,7939,1.090909091,1,1.74382573,0.418648795
766,8146100270,3/24/2015,824000,4,2.25,2490,9864,1,0,0,4,8,1290,1200,1961,0,98004,47.6051,-122.195,2360,9864,1.777777778,1,0.563816103,0.240961112
768,208500160,1/7/2015,760000,4,2.5,2430,6099,1,0,0,5,8,1470,960,1965,0,98115,47.6777,-122.287,2180,6099,1.6,1,1.427583278,0.081365411
770,5104450990,6/19/2014,429900,4,2.5,2640,8625,2,0,0,3,8,2640,0,1987,0,98058,47.4598,-122.15,2240,8700,1.6,0,3.965524308,0.437399093
771,3343901234,11/13/2014,341500,3,1.5,1130,7223,1,0,0,4,7,1130,0,1961,0,98056,47.5089,-122.189,1320,7356,2,0,0.637627845,0.393844328
772,226039214,6/12/2014,465250,5,2,1940,7642,1.5,0,0,3,7,1940,0,1957,0,98177,47.7751,-122.38,1940,8724,2.5,0,0.700344293,0.343963039
773,1623300160,5/6/2014,450000,2,2,1100,3000,1.5,0,0,3,7,1100,0,1912,2005,98117,47.6797,-122.362,1390,4000,1,0,0.777489411,0.128654171
775,4040800810,5/2/2014,420000,3,2.25,2000,8030,1,0,0,4,8,1000,1000,1963,0,98008,47.6188,-122.114,2070,8250,1.333333333,1,0.585677768,0.13224325
776,2612000390,6/15/2014,269950,3,2.5,1890,4838,2,0,0,3,8,1730,160,2002,0,98168,47.4802,-122.279,1910,7409,1.2,1,2.682885363,0.413994707
777,3814400125,10/16/2014,493000,4,2,1910,2874,1,0,0,3,7,1060,850,1910,0,98122,47.6101,-122.295,1520,2874,2,1,0.585166474,0.099992878
778,7300400060,5/15/2014,370000,4,2.5,2710,5880,2,0,0,3,9,2710,0,1998,0,98092,47.3314,-122.172,2520,6000,1.6,0,7.238491375,0.503535928
779,1954700695,6/12/2014,2250000,5,4.25,4860,9453,1.5,0,1,5,10,3100,1760,1905,0,98112,47.6196,-122.286,3150,8557,1.176470588,1,0.265884933,0.086424308
781,3191000240,6/12/2014,400000,3,1.75,1590,8219,1.5,0,0,5,6,970,620,1938,0,98034,47.7146,-122.217,2030,7504,1.714285714,1,0.715926985,0.128667689
782,1139000069,11/18/2014,320000,3,1.5,1240,1221,2,0,0,3,8,1050,190,2009,0,98133,47.7073,-122.356,1180,887,2,1,1.150620163,0.171028212
783,5693500270,1/21/2015,715000,4,1,2000,4800,2,0,0,4,7,2000,0,1911,0,98103,47.6583,-122.351,1260,1452,4,0,0.571090985,0.075449287
785,8731901940,3/4/2015,218000,5,1.75,1930,8040,1,0,0,4,8,1930,0,1966,0,98023,47.3109,-122.376,2370,8000,2.857142857,0,1.090674554,0.508931224
786,2688100071,4/15/2015,500000,2,1,1280,5400,1,0,0,3,7,1280,0,1964,0,98117,47.6949,-122.371,1540,5670,2,0,0.993166228,0.167736581
788,2329500260,7/9/2014,232500,3,1.5,1940,9887,1,0,0,4,7,1140,800,1969,0,98003,47.3289,-122.327,1410,9936,2,1,1.000810342,0.498346866
789,2608300030,5/16/2014,408200,3,2.5,1800,5761,2,0,0,4,7,1800,0,1990,0,98106,47.5293,-122.363,1800,5952,1.2,0,1.47588567,0.339386579
790,1494300060,6/11/2014,522000,3,1.75,1730,8400,1,0,0,4,7,1400,330,1980,0,98052,47.6792,-122.115,1830,8636,1.714285714,1,1.608669219,0.13224325
793,1446800511,10/9/2014,249950,4,1,1330,7980,1.5,0,0,3,6,1330,0,1952,0,98168,47.492,-122.333,1570,8588,4,0,1.412041241,0.390100209
795,6145601000,7/11/2014,429950,4,1,1760,7216,1,0,0,3,7,1090,670,1947,0,98133,47.7041,-122.355,1180,3844,4,1,1.2960867,0.164289894
797,3885805935,9/26/2014,710000,4,2,1740,9000,1,0,0,5,8,1740,0,1958,0,98033,47.6815,-122.198,1850,7700,2,0,0.663297328,0.128667689
798,7852020640,10/20/2014,470000,3,2.5,2100,4700,2,0,0,3,8,2100,0,1999,0,98065,47.5341,-121.867,2100,4700,1.2,0,9.054241652,0.418648795
800,4083305445,8/15/2014,650000,3,2,1340,2720,1.5,0,0,3,7,1340,0,1913,0,98103,47.6518,-122.335,2030,4590,1.5,0,0.231851303,0.048297097
801,7855801610,5/19/2014,1220000,4,2.5,3190,8684,1,0,3,5,9,1680,1510,1967,0,98006,47.5619,-122.162,3160,8684,1.6,1,1.365472133,0.240961112
802,7940700260,1/15/2015,422120,3,2.5,1630,4534,2,0,0,3,8,1630,0,1987,0,98034,47.7148,-122.205,1380,4779,1.2,0,0.887669177,0.128667689
804,4365200860,6/6/2014,385200,4,1,1550,7740,1.5,0,0,3,6,1550,0,1954,0,98126,47.5222,-122.375,1220,7740,4,0,0.886050346,0.367844322
805,3904980030,4/14/2015,500000,3,2.25,1690,4964,2,0,0,3,8,1690,0,1989,0,98029,47.5756,-122.01,1800,5036,1.333333333,0,2.227679918,0.240961112
807,6067900060,6/5/2014,565000,3,2.75,2390,9966,1,0,0,5,8,1360,1030,1977,0,98006,47.5433,-122.185,2140,10713,1.090909091,1,0.572060434,0.393844328
808,7202340960,9/8/2014,581000,3,2.5,2600,4438,2,0,0,3,7,2600,0,2004,0,98053,47.6799,-122.034,2600,4904,1.2,0,3.572189379,0.13224325
809,1786640070,8/6/2014,361000,3,2,1950,8698,1,0,0,3,8,1950,0,1999,0,98042,47.39,-122.153,2330,7212,1.5,0,8.187337591,0.503535928
810,259600260,1/22/2015,345000,3,1,1250,7210,1,0,0,4,7,1250,0,1964,0,98008,47.6329,-122.121,1530,8800,3,0,1.155875115,0.13224325
811,7234600903,10/16/2014,419000,2,2.25,1180,1253,2,0,0,3,8,840,340,2008,0,98122,47.6124,-122.309,1310,1963,0.888888889,1,1.358608776,0.093836878
812,4307350200,5/12/2015,347000,3,2.5,1680,4308,2,0,0,3,7,1680,0,2004,0,98056,47.4802,-122.179,2160,4182,1.2,0,2.021135552,0.437399093
816,4057300200,12/22/2014,310000,3,1.5,1150,3323,2,0,0,3,7,1150,0,1988,0,98029,47.5707,-122.017,1150,2980,2,0,1.821701167,0.240961112
817,1922059135,5/13/2015,250000,2,2,1130,5500,1,0,0,4,6,1130,0,1941,0,98030,47.3839,-122.225,1320,6600,1,0,4.711653479,0.503535928
818,5014600240,8/14/2014,682000,5,2.75,2760,5000,2,0,0,3,9,2760,0,2005,0,98059,47.539,-122.188,2870,5030,1.818181818,0,0.371077673,0.393844328
819,1565900070,7/21/2014,246500,3,2,1430,8919,1,0,0,3,7,1430,0,1992,0,98022,47.2118,-121.983,1580,8919,1.5,0,24.10774757,0.503535928
