Page,Number,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
Carl Blue Clemson,339,4yr • 4 years ago,"The Clemson University Center for Aviation and Automotive Technological Education using Virtual E-Schools (CA2VES) launched in 2012 to create and deliver accessible e-learning material for a nationwide audience to support aviation and automotive technological education. With $4 million in funding from the National Science Foundation (NSF), CA2VES plans to continue to build on the success of this transformative, scalable, and flexible e-learning delivery model.",Article,,0,0,http://go.tig.rs/g0b9ju
Carl Blue Clemson,339,4yr • 4 years ago,✨ We are proud to be recognized in the 2021 U.S. News & World Report!,Article,1,0,0,http://go.tig.rs/p5mp57
Carl Blue Clemson,339,4yr • Edited • 5 years ago,17yo hacker mastermind,Article,3,0,0,https://www.wsj.com/articles/federal-authorities-arrest-suspect-in-twitter-hack-11596223550?st=uiu7k7gm5194gjo&reflink=article_copyURL_share
Carl Blue Clemson,339,4yr • 5 years ago,We will temporarily waive standardized test scores as a requirement for applicants for the 2021-22 academic year. We recognize the challenges presented to prospective students and their families by the ongoing COVID-19 pandemic.,Article,3,0,0,http://go.tig.rs/0p0fuz
Carl Blue Clemson,339,4yr • 5 years ago,"Inkjet Insight co-founder Mary Schilling has put her digital printing skills to work, producing some pretty awesome on-demand face masks.",Article,1,0,0,https://www.printingnews.com/video/video/21138102/mary-schilling-shares-smiles-not-cooties
Carl Blue Clemson,339,4yr • 5 years ago,,Unknown,2,0,0,None
Carl Blue Clemson,339,4yr • 5 years ago,This is a pretty cool concept brought to life. I’ve been out of the printing arena for awhile but I had to share this! hashtag#printing #digitalprinting#pantone#thinkoutsidethebox,Article,2,0,0,https://digitalsynopsis.com/design/pantone-color-beer-can-bottle-packaging/
Carl Blue Clemson,339,5yr • Edited • 5 years ago,https://lnkd.in/d4gM_ne,Image,4,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,❄️ A fresh coat of snow in Clemson. ❄️,Image,6,1 comment,0,None
Carl Blue Clemson,339,5yr • 5 years ago,,Article,2,1 comment,0,https://www.wsj.com/articles/m-b-a-programs-rush-to-add-stem-degrees-11580898601?emailToken=9aad67bc0d66c8d9c93b9207505a837bb+iTkHGwcfYGR5KQRZjqqYaIoeTRdVvYKGH4v22xHQpE90Tr+HpPlCH8McZrB9KCZ2ztakhZDJ3rGR6M2BZna3U2fdPrtVHV1nuNIRZS134%3D&reflink=article_copyURL_share
Carl Blue Clemson,339,5yr • 5 years ago,Fall 2019 Clemson Graphic Communications graduates and faculty.,Article,1,0,0,https://www.linkedin.com/feed/update/urn:li:activity:6613578758446166016
Carl Blue Clemson,339,5yr • 5 years ago,,Article,,1 comment,0,https://www.businessinsider.com/facial-recognition-fooled-with-mask-kneron-tests-2019-12
Carl Blue Clemson,339,5yr • 5 years ago,,Article,2,0,0,https://www.marketwatch.com/amp/story/guid/AF2E17E4-1ACA-11EA-BA4D-B7850A42D319
Carl Blue Clemson,339,5yr • 5 years ago,"""I think the faculty is way over the heads of the majority of students. It’s a closed system: lecture, reading, tests. I don’t think that promotes thinking and problem solving.""",Article,,0,0,https://www.chronicle.com/article/Want-to-Be-a-Happy-Prof-Teach/246417?key=M4Uz02RD-3jerweavC_IPL4seLqqp7GL46LLHSgk8aZmhCcX4HhaU6SJ9JgZX9dmZkpiUmpuTzhNeE5iOVZldTlCNmV2SDVFTF84aWo0dERXVE1tY2lVZTRERQ
Carl Blue Clemson,339,5yr • 5 years ago,,Article,1,1 comment,0,https://www.edie.net/news/5/Coca-Cola-to-replace-plastic-shrink-wrap-with-paper-packaging-across-Europe/
Carl Blue Clemson,339,5yr • 5 years ago,"If you're looking to stay on top of technical advancements that are shaping the future of graphic communications, then join us in Oklahoma City, OK, March 15-18. Now is the time for researchers, scientists, and those evaluating technology innovations to register! Visit www.taga.org/conference for more information.hashtag#taga20 hashtag#oklahomacity hashtag#technical hashtag#research hashtag#innovation",Image,2,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,"TAGA Student Ambassador, Trey Bowe is a sophomore at Clemson University studying graphic communications. “As a member of TAGA, I have been able to expand my knowledge of the creative and print worlds and apply what I have learned to many parts of my life.” Get to know more about Trey and why he is an outstanding asset not only to TAGA, but also for the future of graphic communications. https://bit.ly/32KXnGS hashtag#taga20 hashtag#studentambassador",Image,1,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,"It is wonderful to see that the IRS and other agencies working to improve public awareness of cyber vulnerabilities. It is a simple but powerful message to emphasize:1. Security is essential, and people of all ages should not reveal too much information about themselves. 2. Always use security software with firewall and anti-virus protections. 3. Recognize and avoid scams such as phishing emails, threatening phone calls, and texts from thieves posing as IRS or from legitimate organizations pose risks. 4. Protect personal data and treat personal information like cash; don't leave it lying around.5. Be careful about public Wi-Fi networks as a connection to Wi-Fi in a mall or coffee shop is convenient, but it may not be safe. Always use a virtual private network when connecting to public Wi-Fi.Here is an excellent article by Information Security Magazine:https://lnkd.in/dpyFZ8B hashtag#cybereducation hashtag#stemeducation hashtag#cybersecurity hashtag#computersecurity hashtag#infosec hashtag#securityawareness",Article,1,0,0,https://www.infosecurity-magazine.com/news/irs-to-mount-epic-cybersafety/
Carl Blue Clemson,339,5yr • 5 years ago,"Our recent donation of an Acuity Select 26 digital UV flatbed press to The Sonoco Institute of Packaging Design and Graphics at Clemson University will help students stay in touch with all the latest evolutions in the packaging industry. Proudly standing next to the new machine are Clemson's Haley Appleby (packaging science lecturer), Chip Tonkin (chair of graphic communications and director of the Sonoco Institute) Steve Bennet (Fujifilm VP of packaging solutions) Tony Aquino (Fujifilm regional sales manager) and of course, The Tiger! Details here: http://bit.ly/2PRdRtZhashtag#printing hashtag#packagedesign",Image,,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,"TAGA announces the lineup of keynote speakers and selected papers for its 2020 Annual Technical Conference in Oklahoma City, OK, March 15-18. Keynote speakers include Juanita Parris of Sun Chemical, Todd Fayne of PepsiCo, Dave Crawley of University of Houston, and Craig Reid of CTR Resources, LLC. Visit taga.org/conference for more details. hashtag#taga20 hashtag#oklahomacity hashtag#technical hashtag#research hashtag#innovation",Image,1,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,Congratulations Dr Walker!,Article,9,1 comment,0,http://bit.ly/CURFgrant2020
Carl Blue Clemson,339,5yr • 5 years ago,,Article,8,1 comment,0,https://www.bloomberg.com/news/features/2018-06-21/the-textile-town-becoming-the-silicon-valley-of-the-south
Carl Blue Clemson,339,5yr • 5 years ago,Homecoming 2019,Image,22,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,Homecoming 2019,Image,10,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,"I had the opportunity to go to Print19 in Chicago this week. It was an honor to represent Clemson’s graphic communications program and learn from professionals in this industry. It’s so motivating to see and experience how innovative the print industry is. Print will always be around, and now in a number of new ways. I am so glad I have chosen this major that lets me be creative and technical at the same time!",Image,8,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,Check out these unusual printers. (Follow @Cheddar for more.)https://chdr.tv/htrhttps://chdr.tv/69719https://chdr.tv/0c3e6https://chdr.tv/6e94a,Video,1,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,"PRINTING United is less than a month away and we can’t wait! Check out this behind the scenes look at the making of staff jackets by Printed Threads, LLC.⁣⁣⁣We'll see you in Dallas!http://printingunited.com_________ hashtag#screenprint hashtag#silkscreen hashtag#printing",Video,1,0,0,None
Carl Blue Clemson,339,5yr • 5 years ago,,Article,1,0,1 repost,https://www.boredpanda.com/vintage-photos-life-before-autocad/
Carl Blue Clemson,339,5yr • 5 years ago,"🍕 This video generated 45M views on Facebook!""Test yourself: Can you tell the difference between real & elevated food photos? 😀""----The creator is @First Media US who publishes interesting and valuable content— mainly focused on attracting millennial women. They understand how to attract an audience!Agree?The company has now done sponsored videos for companies like Dunkin', Walmart, Pepsi, Dollar Shave Club, and many more. As founders, we can learn a lot about content creation and optimizing for shareability and retention by studying publishers like First Media. Would love to know your thoughts: What do you think of the video?What makes it shareable?Why is it so hard to look away?🤔👇👇hashtag#video hashtag#media hashtag#marketing Credit: First Media US, Yuval Rechter",Video,1,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,,Unknown,,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,https://lnkd.in/dV9iBWy hashtag#cnbcob,Article,11,0,0,https://newsstand.clemson.edu/twenty-two-new-faculty-welcomed-into-college-of-business-fold/
Carl Blue Clemson,339,5yr • 6 years ago,"""We have to justify and sell the course, find new ways to offer students a sense of ownership over it, and be even more resourceful than usual in figuring out how to surprise and delight them."" (From 2018)",Article,,0,0,https://www.chronicle.com/article/Give-Students-More-Options/243416/
Carl Blue Clemson,339,5yr • Edited • 6 years ago,"Department of Graphic Communication new office space, Godfrey Hall, Clemson University Clemson University",Image,433,31 comments,4 reposts,None
Carl Blue Clemson,339,5yr • 6 years ago,"Old Tuffy Premium Lager is available in stores across North Carolina starting today. Learn how our partnership with New Belgium will provide support to student success initiatives, research projects and fermentation science.",Article,,0,0,http://thinkand.do/LSb3tc
Carl Blue Clemson,339,5yr • 6 years ago,,Image,3,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,"Coming to GCEA Online Camp Clemson this summer? Here are a few important deadlines to note.1. Deadline to register for the conference in July 5, 2019- https://lnkd.in/ef_3YWM2. Deadline to reserve a shuttle to or from the airport is NOON on July 8, 2019- https://lnkd.in/e3QT5i73. Deadline to cancel (we'd hate it if you can't make it to camp!) and receive a partial refund is July 14, 2019Also, don't forget to download our conference app here- https://lnkd.in/eHRUGEm for up-to-date information leading up to and during the event!hashtag#graphic hashtag#communications hashtag#studentsuccess hashtag#students hashtag#conference",Unknown,,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,"“You never change things by fighting the existing reality. To change something, build a new model that makes the existing model obsolete.” - Buckminster FullerAs 8 years at USM comes to an end, I am delighted to announce that I have accepted a position at Clemson University beginning this fall 2019. I am super excited about this opportunity to be an Associate Professor in the Department of Graphic Communications in their College of Business.  hashtag#gotigers",Image,56,29 comments,0,None
Carl Blue Clemson,339,5yr • 6 years ago,,Image,,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,,Image,,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,E-sports!,Article,,0,0,https://ihenow.com/2Egglvz
Carl Blue Clemson,339,5yr • 6 years ago,,Image,6,1 comment,0,None
Carl Blue Clemson,339,5yr • 6 years ago,"hashtag#thiscover is a project created a from passion for music albums. Using augmented reality this team have created very cool animations. If you have any of the 19 albums that are already available you just need to download their app.Created by Yuh-Kuo Tai, Marco Meloni, and Susanna Basone @thiscover hashtag#augmentedreality hashtag#ar hashtag#music hashtag#technology hashtag#bigideas hashtag#innovationTHISCOVER UK LIMITED",Video,,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,Only takes a minute,Image,3,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,"Games might not be the best use for VR, but this could be.",Article,,0,0,https://cnet.co/2Jo4MX4
Carl Blue Clemson,339,5yr • 6 years ago,"Chip Paucek, 2U’s chief executive, responds to questions about the OPM model, his company’s place in that universe, and why 2U just paid three-quarters of a billion dollars for a company that runs coding boot camps.",Article,,0,0,https://www.chronicle.com/article/Do-Tech-Companies-Inflate-the/246288
Carl Blue Clemson,339,5yr • 6 years ago,Absolutely stunning! This is an hashtag#augmented_reality hashtag#exhibition that was held in France. I wish I had visited it in person!It looks like it would have been a simply exquisite experience. The AR Art Exhibition – “Mirages and Miracles” by Adrien M & Claire B. hashtag#AR hashtag#Art hashtag#augmentedreality hashtag#artexpo hashtag#miragesandmiracles #,Video,,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,This splattered paint advertisement by Sony was one of the most expensive ads ever.,Video,,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,,Unknown,1,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,USM Department of Technology Senior Capstone Poster Presentation today 4-6 at the John Mitchell Center in Gorham. hashtag#careerready,Image,5,0,0,None
Carl Blue Clemson,339,5yr • Edited • 6 years ago,"USM's Department of Technology congratulates our recipients for the Outstanding Student for 2019: Aaron M. Pantling; the William H. Moore Award in Technology 2019: Michael S. Brown; and our Outstanding Alumni for 2019: Nicole L. Kearns. Pictured left to right: Outstanding Student 2019, Aaron Pantling, BS Information Technology; and Outstanding Alumni 2019, Nicole Kearns, BS Technology Management, from Tyler Technologies, Senior Log Forensics Analyst, CISSP. hashtag#leadership",Image,6,1 comment,0,None
Carl Blue Clemson,339,5yr • 6 years ago,Redesign of Helvetica... because the original text did not look or work well on small screens like watches and phones..,Article,2,0,0,https://news.artnet.com/art-world/ubiquitous-typeface-helvetica-getting-makeover-21st-century-1523779
Carl Blue Clemson,339,5yr • 6 years ago,"USM's Department of Technology's Senior Capstone Poster Presentations at the John Mitchell Center hashtag#careerreadystudents hashtag#usmdot hashtag#studentsforhire , GorhamMonday: Lobby of the JMC 4-6PM",Image,3,0,0,None
Carl Blue Clemson,339,5yr • 6 years ago,,Article,2,0,0,https://www.youtube.com/watch?v=OnWolLQSZic
Carl Blue Clemson,339,5yr • 6 years ago,Robots are coming for all the jobs. Even the ones in professional sports! Who’s next? hashtag#robots hashtag#innovation hashtag#tech hashtag#technologyCredit: WTF,Video,1,0,0,None
Carl Blue Clemson,339,5yr • Edited • 6 years ago,Portland tech firm Tilson to receive up to $100 million investmentThe deal would represent one of the largest venture capital investments in a Maine company in recent years. https://lnkd.in/dKu_djX hashtag#careerreadystudents hashtag#USMDOT hashtag#studentsforhire,Article,3,0,0,https://www.pressherald.com/2019/04/09/portland-tech-firm-tilson-to-receive-up-to-100-million-investment/
Carl Blue Clemson,339,6yr • 6 years ago,"ITEEA conference in Kansas City, MO hashtag#gamification",Image,7,2 comments,0,None
Carl Blue Clemson,339,6yr • 6 years ago,Untapped resources,Unknown,,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,Representing the Department of Technology at the Engineering Expo atUniversity of Southern Maine,Image,14,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,This augmented reality floor looks awesome! Agree?hashtag#ar hashtag#augmentedreality,Video,2,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,"Our annual Job Fair is coming up on March 7, and promises to be huge. hashtag#workforcedevelopment hashtag#careerplanning hashtag#careers hashtag#jobfairs hashtag#education",Article,2,0,0,https://usm.maine.edu/publicaffairs/resumes-ready-spring-2019-job-fair-around-corner
Carl Blue Clemson,339,6yr • 6 years ago,It all started when he dropped a 3-year-old piece of coral and smashed it to pieces. Learn more about coral reefs: https://wef.ch/2HiMYYZ hashtag#scienceandenvironment hashtag#environmentalprotection,Video,1,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,"We're looking for hardworking and dependable manufacturing professionals who want to learn what hashtag#gravure production is all about! Want a career and not just a job? Apply to join our SGS Waukesha, WI team today! hashtag#packagingmachinery hashtag#imagecarrier hashtag#engraving hashtag#skilledtradesBrian Hecht Ben Wolf Dan Kyle",Article,,0,0,http://recruiting2.createdacard.me/O19DP?network=linkedin
Carl Blue Clemson,339,6yr • 6 years ago,That person is not real. They don't exist.,Article,1,2 comments,0,https://cnet.co/2IdsoOo
Carl Blue Clemson,339,6yr • 6 years ago,,Image,1,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,,Article,2,0,0,https://www.cbsnews.com/news/venture-capitalist-kai-fu-lee-ai-will-displace-40-percent-of-worlds-jobs-in-as-soon-as-15-years-60-minutes/
Carl Blue Clemson,339,6yr • 6 years ago,Group eyes Maine as launch site for satelliteshttps://bit.ly/2SWmEsV hashtag#maine hashtag#tech hashtag#space hashtag#NASA hashtag#technology,Article,,0,0,https://bit.ly/2SWmEsV
Carl Blue Clemson,339,6yr • 6 years ago,On the shortest day and longest night of 2018.,Image,2,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,Ph.D.s with nonacademic careers should have a seat at the table as universities and departments rethink graduate education.,Article,1,0,0,https://www.chronicle.com/article/Ex-Academics-Still-Aren-t/245306
Carl Blue Clemson,339,6yr • 6 years ago,Amazing cross-media AR.,Video,1,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,"Bye to PlayStation Vita, Netflix user reviews and even more.",Article,,0,0,https://cnet.co/2Cf6Mw9
Carl Blue Clemson,339,6yr • 6 years ago,"Reflections on Virgin Galactic's first space flight & the momentous achievement of a crewed spaceship, built to carry private paying passengers, reaching space for the first time ever https://virg.in/39C",Video,3,1 comment,0,None
Carl Blue Clemson,339,6yr • 6 years ago,Faculty Fellow,Image,32,6 comments,0,None
Carl Blue Clemson,339,6yr • 6 years ago,Think about the different experiences of reading about an event vs. being at an event. Virtual reality is having a real impact on learning.,Article,,0,0,https://cbcommunity.comcast.com/browse-all/details/reality-or-virtual-reality-how-vr-is-changing-the-educational-experience
Carl Blue Clemson,339,6yr • 6 years ago,"The December Workforce Report is out! As we close out 2018, hiring continues to level off after an extended period of increased hiring. For more insights on where the labor market stands at the end of 2018, check out the full report.",Article,,1 comment,0,https://economicgraph.linkedin.com/resources/linkedin-workforce-report-december-2018
Carl Blue Clemson,339,6yr • 6 years ago,Department of Technology- Senior Capstone Poster Presentations at the John Mitchell Center,Image,6,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,"“You have these new firms that have almost limitless capital, vast stores of data, and an almost certain ongoing need for education and training for education and workers. You'd be foolish, as a university or college administrator, ... to not bring value to those clients.”",Article,,0,0,https://www.chronicle.com/article/Amazon-Mania-Revealed-These-3/245267?key=YYB656B-DGUJ2veZAT6seeRCjSSpxxk_DAhdxp5UHxLO_ayBPPGS9EHV78furm2SQXprNEVmUVEybDI2MXpTV3NIRDV5aGZETTl2bDJjd3NSN2JnemlUREdlQQ
Carl Blue Clemson,339,6yr • 6 years ago,"What would it take to turn things around and achieve a stable outlook? That would require an expected revenue growth of at least 3 percent, the report says, at a majority of colleges.",Article,,0,0,https://www.chronicle.com/article/Moody-s-Gives-Higher-Ed-a/245258
Carl Blue Clemson,339,6yr • 6 years ago,Six Democratic senators have written to U.S. News & World Report asking it to change its ranking methodology.,Article,,0,0,https://ihenow.com/2KTVTCL
Carl Blue Clemson,339,6yr • 6 years ago,"Announcing USM's Department of Technology's Fall 2018 Senior Capstone Poster Presentations. Monday afternoon, December 10th, 4-6PM in the lobby of the John Mitchell Center, Gorham, ME Come support our seniors' project presentations. Learn about what we're doing. Open tours of the labs in the Department of Technology. hashtag#leadership hashtag#capstone hashtag#posterpresentations",Image,3,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,,Article,2,1 comment,0,https://www.businessinsider.com/unusual-job-titles-companies-hiring-millennials-2018-11
Carl Blue Clemson,339,6yr • 6 years ago,"After sneaking a preview of the new higher-ed documentary ""Unlikely"" last week, @goldiestandard is rooting for it to succeed. Here's why:",Article,1,0,0,https://www.chronicle.com/article/A-Film-About-Higher-Ed-That/245135
Carl Blue Clemson,339,6yr • 6 years ago,"""...Many nations, particularly in the developing world, don’t have nearly enough teachers so bots like Will could one day help fill that gap. ...They can adjust to  each student’s individual learning style, known as 'Adaptive learning,' to help them reach their full potential.""",Article,1,0,0,https://www.soulmachines.com/news/2018/10/5/press-worlds-first-digital-teacher-starts-work-teaching-kids-about-energy
Carl Blue Clemson,339,6yr • 6 years ago,The Maine system is the canary in the coal mine for the challenges that public colleges face in many states.,Article,1,0,0,https://www.chronicle.com/article/How-Maine-Became-a-Laboratory/242621?key=XeqTswECpgTjA7dsam5xGVWklKHPlFGyVEZVL6RSPn4SJIoW9oWftsF_zWquqmpMYWFnaEVqcGRpazcyLTdKMXZQZExQRF9oNnlwQ1o4aW5nNllTN3daS1RHMA
Carl Blue Clemson,339,6yr • 6 years ago,"Always found that students will get more interested about a topic, like ""safety"" if you allow them to be creative.  Produced by students in the ITT344 Digital Video and Animation Technology - Fall 2015.",Article,1,1 comment,0,https://www.youtube.com/watch?v=dDBSQtY5q4s&t=6s
Carl Blue Clemson,339,6yr • 6 years ago,"“Leaders whose goal is the quest for power over others, unlimited wealth, or the fame that comes with success tend to look to others to gain satisfaction, and often appear self-centered and egotistical. They start to believe their own press. As leaders of institutions, they eventually believe the institution cannot succeed without them.”https://lnkd.in/d2rT77j hashtag#leadership",Article,,1 comment,0,https://hbswk.hbs.edu/item/why-leaders-lose-their-way
Carl Blue Clemson,339,6yr • 6 years ago,Internship Fair Today! Consider your career readiness.,Article,,0,0,https://usm.maine.edu/career-and-employment-hub/internship-fair
Carl Blue Clemson,339,6yr • 6 years ago,,Article,4,0,0,http://on.forbes.com/6189EBS7H
Carl Blue Clemson,339,6yr • 6 years ago,"Join us on Thursday, November 8th from 11:00 AM - 3:00 PM for the USM Job Fair. Over 100 employers to attend and FREE professional photos available! @University of Southern Maine hashtag#jobfairs",Image,,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,"Represent! Dept. Of Technology and the Spatial Visualization Gaming Instrument SVGI at the 5th Annual STEM Expo sponsored by Portland Public Schools & EnviroLogix, Inc",Image,21,0,0,None
Carl Blue Clemson,339,6yr • 6 years ago,B.S. Technology Management is a ATMAE accredited degree program with concentrations in: - Information and Communication Technology - Industrial Management - Precision Manufacturing- Electro-Mechanical Systems https://lnkd.in/dD4yvyzhashtag#communication hashtag#manufacturing hashtag#accreditation hashtag#itmanagement hashtag#industrialization,Image,7,0,0,None
Carl Blue Clemson,339,6yr • 7 years ago,"Hackathon Today! University of Southern Maine, Dept. of Technology, Gorham",Image,35,2 comments,1 repost,None
Carl Blue Clemson,339,6yr • 7 years ago,Data Science,Image,1,0,0,None
Carl Blue Clemson,339,6yr • 7 years ago,"includes ""a world-class science, technology, engineering and math center""",Image,2,0,1 repost,None
Carl Blue Clemson,339,6yr • Edited • 7 years ago,hAcKaThOn 2018https://lnkd.in/d9nyvsM,Image,6,2 comments,1 repost,None
Carl Blue Clemson,339,6yr • Edited • 7 years ago,"The University of Southern Maine seeks applicants for the tenure-track position of Assistant Professor of Cyber Security and to teach a three-three course-load that serves the students enrolled in the Bachelor of Science in Cyber Security (BSCS) in the Department of Technology (DOT); and assist in the development and delivery of an online Master Degree in Cyber Security in collaboration with the Department of Computer Science.  The position is a 9-month appointment, and the salary is competitive and commensurate with qualifications and experience. hashtag#computersecurity hashtag#collegesanduniversities hashtag#ethicalhacking hashtag#graduateschoolsandstudents",Article,3,0,1 repost,https://usm.hiretouch.com/job-details?jobID=50671&job=assistant-professor-of-cybersecurity
Carl Blue Clemson,339,6yr • 7 years ago,Registration information posted soon!,Image,13,0,4 reposts,None
Carl Blue Clemson,339,6yr • 7 years ago,"The University of Southern Maine seeks applicants for a tenure-track faculty member for the Department of Technology with expertise in Information Technology to primarily teach a three - three course-load in subjects appropriate for Information Technology majors, with additional opportunities to teach corresponding/cross-listed courses in Technology Management, and Cyber Security. hashtag#informationtechnology hashtag#itmanagement hashtag#collegesanduniversities",Article,10,0,1 repost,https://usm.hiretouch.com/job-details?jobID=50633&job=assistant-professor-of-information-technology
Carl Blue Clemson,339,6yr • 7 years ago,Fall 2018 Events in the Dept. of Technology,Image,9,0,1 repost,None
Carl Blue Clemson,339,6yr • 7 years ago,,Image,5,4 comments,0,None
Carl Blue Clemson,339,6yr • 7 years ago,,Article,1,0,0,https://www.linkedin.com/pulse/college-required-gains-steam-wifi-really-can-more-top-rundown-us-
Carl Blue Clemson,339,6yr • 7 years ago,,Article,,0,0,https://youtu.be/X9yojxKs_Gc
Carl Blue Clemson,339,6yr • 7 years ago,,Article,,0,0,https://www.pressherald.com/2018/08/06/report-projects-near-zero-net-job-growth-in-maine/
Carl Blue Clemson,339,6yr • 7 years ago,Researchers from the NC State College of Agriculture and Life Sciences are studying cities to predict the effects of climate change. #ThinkAndDo,Article,2,0,0,http://thinkand.do/qQwSqy
Carl Blue Clemson,339,6yr • 7 years ago,"2018 Summer Interns return to Preble Street Kitchen to donate some time to community service on Systems Engineerings' behalf.  (L-R: Chris, Jay, Donovan, Adam, and Brennan).",Image,,0,0,None
Carl Blue Clemson,339,6yr • 7 years ago,New T-shirt for Fall 2018,Image,12,4 comments,0,None
Carl Blue Clemson,339,6yr • 7 years ago,,Article,2,0,0,https://www.linkedin.com/pulse/lecturer-position-usm-dept-tech-mark-monnin
Carl Blue Clemson,339,6yr • 7 years ago,Expanding my skill set.,Image,12,0,0,None
Carl Blue Clemson,339,6yr • 7 years ago,Expanding my skill set.,Image,26,5 comments,0,None
Carl Blue Clemson,339,6yr • Edited • 7 years ago,A new study finds that community college students who take an introductory course with an adjunct professor are less likely to take subsequent courses in the same discipline than students who took the intro course with a full-time professor.,Article,,0,0,https://www.insidehighered.com/blogs/confessions-community-college-dean/intro-course
Carl Blue Clemson,339,6yr • 7 years ago,,Article,2,0,0,https://www.pbs.org/newshour/education/decades-pushing-bachelors-degrees-u-s-needs-tradespeople
Carl Blue Clemson,339,6yr • 7 years ago,,Article,2,0,1 repost,https://www.pbs.org/newshour/education/states-want-career-technical-training-struggle-find-teachers
Carl Blue Clemson,339,6yr • 7 years ago,"I am looking for part time instructors for the Fall 2018 to teach several tech courses. One is in Introductory Web Development, the other is a software survey course in Communication Technology. Both are taught in state-of-the-art Apple labs with the  latest Adobe CC software. We'll be posting a position for Technical Writing, and advance IT courses in the coming week. Please visit the USM's hiretouch website for more information. https://lnkd.in/dPikEEihttps://lnkd.in/dJq9qiu#webdevelopment #communication #software #technicalwriting #instructorshttps://lnkd.in/dUdYatN",Article,5,1 comment,0,https://usm.hiretouch.com/view-all-jobs
Carl Blue Clemson,339,7yr • 7 years ago,George RedHawk is a legally blind artist who’s medium is animated gifs and his work is truly stunning.,Video,1,0,0,None
Carl Blue Clemson,339,7yr • Edited • 7 years ago,A forward thinking university...https://lnkd.in/dgfHzQM,Unknown,,0,0,None
Carl Blue Clemson,339,7yr • 7 years ago,,Image,,0,0,None
Carl Blue Clemson,339,7yr • 7 years ago,,Article,,0,0,http://www.businessinsider.com/the-internet-is-controlled-by-14-people-2014-3
Carl Blue Clemson,339,7yr • 7 years ago,What were they thinking?,Video,,0,0,None
Carl Blue Clemson,339,7yr • 7 years ago,,Article,,0,0,https://www.chronicle.com/article/What-s-Wrong-With-Writing/242414
Carl Blue Clemson,339,7yr • 7 years ago,"USM 2018 Job Fair | March 1, 2018 | 11:00 AM - 4:00 PMSullivan Gym, Portland Campus | Learn More at https://lnkd.in/d_DNWkeEmployer registration is open!",Image,,0,0,None
Carl Blue Clemson,339,7yr • 7 years ago,,Article,,0,0,https://www.theatlantic.com/technology/archive/2018/01/spectre-meltdown-cybersecurity/551147/
Carl Blue Clemson,339,7yr • 7 years ago,,Article,,0,0,https://www.theatlantic.com/education/archive/2018/01/why-arent-college-students-using-career-services/551051/
Carl Blue Clemson,339,7yr • 7 years ago,"Meet AppState student Andrew Smith, recreation management/spanish major and recipient of one of Lowe's Home Improvement's Carl Buchan scholarships!",Article,,0,0,https://www.youtube.com/watch?v=SnVSR_DcGVg
Carl Blue Clemson,339,7yr • 7 years ago,,Article,,0,0,https://christielindor.blogspot.co.at/2017/10/people-do-not-quit-companies-managers.html?utm_content=buffer3de41&utm_medium=social&utm_source=linkedin.com&utm_campaign=buffer
Carl Blue Clemson,339,7yr • 7 years ago,,Article,,0,0,http://www.forbes.com/sites/mikemyatt/2012/12/13/10-reasons-your-top-talent-will-leave-you/
Carl Blue Clemson,339,7yr • 8 years ago,,Article,,1 comment,0,http://whattheythink.com/articles/87467-what-graphic-communications-students-need-know/
Carl Blue Clemson,339,7yr • Edited • 8 years ago,"When the revenue stream means more than a promise of quality assurance, the product fails...The government spends billions to help send low-income students to college. Only half are graduatinghttps://lnkd.in/eRk5Fdy",Unknown,,0,0,None
